stage	va	len	changed	name	before	after	expect	patch	cave	note
1	0x0041DDDE	9	1	screenbitmap.width.third	mov word ptr [0x6ceff0], 0x280	mov word ptr [0x6ceff0], 0x500	66C705F0EF6C008002	66C705F0EF6C000005		screenBitmap.width, third writer at 0x0041DDDE (new in task 034)
1	0x0041DDE7	9	0	screenbitmap.height.third	mov word ptr [0x6ceff2], 0x1e0	mov word ptr [0x6ceff2], 0x1e0	66C705F2EF6C00E001	66C705F2EF6C00E001		screenBitmap.height, third writer
1	0x0041D450	5	1	blit.sourcepitch	push 0x280	push 0x500	6880020000	6800050000		SOURCE pitch of the one blit that presents the frame
2	0x0041D52C	5	0	storm.region.height	push 0x1e0	push 0x1e0	68E0010000	68E0010000		Ordinal_440 height (Storm's dirty-region geometry)
2	0x0041D531	5	1	storm.region.width	push 0x280	push 0x500	6880020000	6800050000		Ordinal_440 width; the same call passes the 16x16 block size
1	0x0041D3D9	5	1	fillscreen.pitch.imm	push 0x280	push 0x500	6880020000	6800050000		0x0041D3A0: destination pitch passed to the fill
1	0x0041D3E6	3	1	fillscreen.rowmul	lea edi, [eax + eax*4]	imul edi, eax, 0x28	8D3C80	6BF828		0x0041D3A0: edi = y * 40 (was y * 5, feeding a shift of 7)
1	0x0041D3EF	3	1	fillscreen.rowshift	shl edi, 7	shl edi, 5	C1E707	C1E705		0x0041D3A0: shl edi,7 -> shl edi,5, so y*40<<5 == y*1280
1	0x0041E2D5	7	1	compose.clearrect.width	mov dword ptr [ebp - 0xc], 0x280	mov dword ptr [ebp - 0xc], 0x500	C745F480020000	C745F400050000		whole-screen-clear branch: full-screen rect width
1	0x0041E2DC	7	0	compose.clearrect.height	mov dword ptr [ebp - 8], 0x1e0	mov dword ptr [ebp - 8], 0x1e0	C745F8E0010000	C745F8E0010000		whole-screen-clear branch: full-screen rect height
1	0x0041E2F2	5	0	compose.descriptor.height	mov edi, 0x1e0	mov edi, 0x1e0	BFE0010000	BFE0010000		MOV EDI,480 -- the height every layer descriptor gets
2	0x0041E323	5	1	compose.clip.x2	add eax, 0x27f	add eax, 0x4ff	057F020000	05FF040000		x2 = -left + 639
2	0x0041E32F	6	0	compose.clip.y2	add ecx, 0x1df	add ecx, 0x1df	81C1DF010000	81C1DF010000		y2 = -top + 479
1	0x0041E33E	6	1	compose.descriptor.width	mov word ptr [ebp - 8], 0x280	mov word ptr [ebp - 8], 0x500	66C745F88002	66C745F80005		width field of every layer descriptor
2	0x0041E0E2	5	1	dirty.reject.x	cmp eax, 0x280	cmp eax, 0x500	3D80020000	3D00050000		return early if x1 >= 640 (new in task 034; not in 032's table)
2	0x0041E0F5	6	1	dirty.clamp.x2.cmp	cmp ebx, 0x27f	cmp ebx, 0x4ff	81FB7F020000	81FBFF040000		x2 upper bound
2	0x0041E0FD	5	1	dirty.clamp.x2.set	mov ebx, 0x27f	mov ebx, 0x4ff	BB7F020000	BBFF040000		x2 = 639
2	0x0041E10A	6	0	dirty.reject.y	cmp ecx, 0x1e0	cmp ecx, 0x1e0	81F9E0010000	81F9E0010000		return early if y1 >= 480 (new in task 034)
2	0x0041E11A	6	0	dirty.clamp.y2.cmp	cmp esi, 0x1df	cmp esi, 0x1df	81FEDF010000	81FEDF010000		y2 upper bound
2	0x0041E122	5	0	dirty.clamp.y2.set	mov esi, 0x1df	mov esi, 0x1df	BEDF010000	BEDF010000		y2 = 479
2	0x0041A049	9	1	layer2.width	mov word ptr [0x6cef7e], 0x280	mov word ptr [0x6cef7e], 0x500	66C7057EEF6C008002	66C7057EEF6C000005		dialog layer width
2	0x0041A052	9	0	layer2.height	mov word ptr [0x6cef80], 0x1e0	mov word ptr [0x6cef80], 0x1e0	66C70580EF6C00E001	66C70580EF6C00E001		dialog layer height
1	0x0040C247	6	1	copyrun.destpitch	add edi, 0x280	add edi, 0x500	81C780020000	81C700050000		row step of the scratch->screen copy loop (new in task 034)
1	0x0047EDD3	3	1	fog.rowmul@0047EDD3	lea ecx, [ecx + ecx*4]	imul ecx, ecx, 0x28	8D0C89	6BC928		fog: ecx = y * 40 (was y * 5, feeding a shift of 7) -- FRAMEBUFFER row
1	0x0047EDD6	3	1	fog.rowshift@0047EDD6	shl ecx, 7	shl ecx, 5	C1E107	C1E105		fog: shl ecx,7 -> shl ecx,5, so y*40<<5 == y*1280
1	0x0047EF3A	3	1	fog.rowmul@0047EF3A	lea ecx, [esi + esi*4]	imul ecx, esi, 0x28	8D0CB6	6BCE28		fog: ecx = y * 40 (was y * 5, feeding a shift of 7) -- FRAMEBUFFER row
1	0x0047EF3D	3	1	fog.rowshift@0047EF3D	shl ecx, 7	shl ecx, 5	C1E107	C1E105		fog: shl ecx,7 -> shl ecx,5, so y*40<<5 == y*1280
1	0x00480635	3	1	fog.rowmul@00480635	lea ecx, [edx + edx*4]	imul ecx, edx, 0x28	8D0C92	6BCA28		fog: ecx = y * 40 (was y * 5, feeding a shift of 7) -- FRAMEBUFFER row
1	0x00480638	3	1	fog.rowshift@00480638	shl ecx, 7	shl ecx, 5	C1E107	C1E105		fog: shl ecx,7 -> shl ecx,5, so y*40<<5 == y*1280
1	0x0047EA6B	5	1	fog.rowpitch.writer	mov esi, 0x280	mov esi, 0x500	BE80020000	BE00050000		FUN_0047EA60: dest row step is (pitch - run width) -- FRAMEBUFFER pitch
1	0x0047FFDE	6	1	fog.rowstep@0047FFDE	add esi, 0x280	add esi, 0x500	81C680020000	81C600050000		fog blend loop: advance one FRAMEBUFFER row
1	0x00480087	6	1	fog.rowstep@00480087	add esi, 0x280	add esi, 0x500	81C680020000	81C600050000		fog blend loop: advance one FRAMEBUFFER row
1	0x004800B4	6	1	fog.blockclear.r1lo	mov dword ptr [ecx + 0x280], eax	mov dword ptr [ecx + 0x500], eax	898180020000	898100050000		FUN_004800A0: shrouded 8x8 block, row 1 of 8 at (pitch*1)+0
1	0x004800BA	6	1	fog.blockclear.r1hi	mov dword ptr [ecx + 0x284], eax	mov dword ptr [ecx + 0x504], eax	898184020000	898104050000		FUN_004800A0: shrouded 8x8 block, row 1 of 8 at (pitch*1)+4
1	0x004800C0	6	1	fog.blockclear.r2lo	mov dword ptr [ecx + 0x500], eax	mov dword ptr [ecx + 0xa00], eax	898100050000	8981000A0000		FUN_004800A0: shrouded 8x8 block, row 2 of 8 at (pitch*2)+0
1	0x004800C6	6	1	fog.blockclear.r2hi	mov dword ptr [ecx + 0x504], eax	mov dword ptr [ecx + 0xa04], eax	898104050000	8981040A0000		FUN_004800A0: shrouded 8x8 block, row 2 of 8 at (pitch*2)+4
1	0x004800CC	6	1	fog.blockclear.r3lo	mov dword ptr [ecx + 0x780], eax	mov dword ptr [ecx + 0xf00], eax	898180070000	8981000F0000		FUN_004800A0: shrouded 8x8 block, row 3 of 8 at (pitch*3)+0
1	0x004800D2	6	1	fog.blockclear.r3hi	mov dword ptr [ecx + 0x784], eax	mov dword ptr [ecx + 0xf04], eax	898184070000	8981040F0000		FUN_004800A0: shrouded 8x8 block, row 3 of 8 at (pitch*3)+4
1	0x004800D8	6	1	fog.blockclear.r4lo	mov dword ptr [ecx + 0xa00], eax	mov dword ptr [ecx + 0x1400], eax	8981000A0000	898100140000		FUN_004800A0: shrouded 8x8 block, row 4 of 8 at (pitch*4)+0
1	0x004800DE	6	1	fog.blockclear.r4hi	mov dword ptr [ecx + 0xa04], eax	mov dword ptr [ecx + 0x1404], eax	8981040A0000	898104140000		FUN_004800A0: shrouded 8x8 block, row 4 of 8 at (pitch*4)+4
1	0x004800E4	6	1	fog.blockclear.r5lo	mov dword ptr [ecx + 0xc80], eax	mov dword ptr [ecx + 0x1900], eax	8981800C0000	898100190000		FUN_004800A0: shrouded 8x8 block, row 5 of 8 at (pitch*5)+0
1	0x004800EA	6	1	fog.blockclear.r5hi	mov dword ptr [ecx + 0xc84], eax	mov dword ptr [ecx + 0x1904], eax	8981840C0000	898104190000		FUN_004800A0: shrouded 8x8 block, row 5 of 8 at (pitch*5)+4
1	0x004800F0	6	1	fog.blockclear.r6lo	mov dword ptr [ecx + 0xf00], eax	mov dword ptr [ecx + 0x1e00], eax	8981000F0000	8981001E0000		FUN_004800A0: shrouded 8x8 block, row 6 of 8 at (pitch*6)+0
1	0x004800F6	6	1	fog.blockclear.r6hi	mov dword ptr [ecx + 0xf04], eax	mov dword ptr [ecx + 0x1e04], eax	8981040F0000	8981041E0000		FUN_004800A0: shrouded 8x8 block, row 6 of 8 at (pitch*6)+4
1	0x004800FC	6	1	fog.blockclear.r7lo	mov dword ptr [ecx + 0x1180], eax	mov dword ptr [ecx + 0x2300], eax	898180110000	898100230000		FUN_004800A0: shrouded 8x8 block, row 7 of 8 at (pitch*7)+0
1	0x00480102	6	1	fog.blockclear.r7hi	mov dword ptr [ecx + 0x1184], eax	mov dword ptr [ecx + 0x2304], eax	898184110000	898104230000		FUN_004800A0: shrouded 8x8 block, row 7 of 8 at (pitch*7)+4
1	0x004806D0	6	1	fog.blockrowstep	add ecx, 0x1400	add ecx, 0x2800	81C100140000	81C100280000		fog draw: advance 8 FRAMEBUFFER rows (one block row)
2	0x0041D755	5	1	grid.base@0041D755	mov edi, 0x6ceff8	mov [grid+0x0]	BFF8EF6C00	BF00000000		drawing gate 0x0041D710: clear all
2	0x0041E025	5	1	grid.base@0041E025	push 0x6ceff8	push [grid+0x0]	68F8EF6C00	6800000000		Storm update-region call: the grid IS the region list
2	0x0041E03C	5	1	grid.base@0041E03C	mov edi, 0x6ceff8	mov [grid+0x0]	BFF8EF6C00	BF00000000		0x0041DF80: clear all after presenting
2	0x0041E06F	5	1	grid.base@0041E06F	mov edi, 0x6ceff8	mov [grid+0x0]	BFF8EF6C00	BF00000000		video init 0x0041E050: clear all
2	0x0041E3DF	5	1	grid.base@0041E3DF	push 0x6ceff8	push [grid+0x0]	68F8EF6C00	6800000000		composer: hand the grid to Storm
2	0x0041E3F6	5	1	grid.base@0041E3F6	mov edi, 0x6ceff8	mov [grid+0x0]	BFF8EF6C00	BF00000000		composer: clear all after presenting
2	0x004808FB	5	1	grid.base@004808FB	mov edi, 0x6ceff8	mov [grid+0x0]	BFF8EF6C00	BF00000000		fog draw 0x004808F8: walk from the top-left
2	0x004BCDE4	5	1	grid.base@004BCDE4	mov ecx, 0x6ceff8	mov [grid+0x0]	B9F8EF6C00	B900000000		terrain blitter 0x004BCDC0: walk from the top-left
2	0x004BD656	5	1	grid.base@004BD656	mov edi, 0x6ceff8	mov [grid+0x0]	BFF8EF6C00	BF00000000		console init 0x004BD630: mark all dirty
2	0x0048CC00	5	1	grid.row1col26	mov ecx, 0x6cf03a	mov [grid+0x6A]	B93AF06C00	B900000000		0x0048CB80 names grid[row 1][col 26]; recomputed for the new stride
2	0x004B2314	5	1	grid.row18	mov edi, 0x6cf2c8	mov [grid+0x5A0]	BFC8F26C00	BF00000000		0x004B1FA0 names grid[row 18][col 0]; recomputed for the new stride
2	0x004B2303	7	1	grid.row18.count	lea ecx, [eax + eax*4 - 0x55] ; shl ecx, 3	lea ecx, [eax - 0x11] ; imul ecx, ecx, 0x50 ; nop 	8D4C80ABC1E103	8D48EF6BC95090		0x004B1FA0: ecx = (row - 17) * 80, was (row - 17) * 40
2	0x0048CC1F	3	1	grid.rowstep.48CB80	add ecx, 0x28	add ecx, 0x50	83C128	83C150		0x0048CB80: next row of the grid is +40 bytes
2	0x0048CBC7	5	1	grid.row18.b	mov edi, 0x6cf2c8	mov [grid+0x5A0]	BFC8F26C00	BF00000000		0x0048CB80 branch 1 names grid[row 18][col 0]; recomputed for the new stride
2	0x0048CBB5	7	1	grid.row18.count.b	lea ecx, [eax + eax*4 - 0x55] ; shl ecx, 3	lea ecx, [eax - 0x11] ; imul ecx, ecx, 0x50 ; nop 	8D4C80ABC1E103	8D48EF6BC95090		0x0048CB80: ecx = (row - 17) * 80, was (row - 17) * 40 -- the twin of grid.row18.count
2	0x0042D305	3	1	grid.rowstep.42D280	add edx, 0x28	add edx, 0x50	83C228	83C250		0x0042D280: next row of the grid is +40 bytes
2	0x0041E15B	14	1	grid.rowaddr.marker	cmp ecx, esi ; lea eax, [ecx + ecx*4] ; lea ebx, [edi + eax*8 + 0x6ceff8] ; jg 0x41e193	imul eax, ecx, 0x28 ; lea ebx, [edi + eax*2] ; cmp ecx, esi ; jg 0x41e193	3BCE8D04898D9CC7F8EF6C007F2A	6BC1288D9C47000000003BCE7F2A		dirty marker: eax = row * 40, ebx = grid + row*80 + col; cmp/jg moved after the multiply so the branch still reads the compare
2	0x0041E18A	3	1	grid.rowstep.marker	add ebx, 0x28	add ebx, 0x50	83C328	83C350		dirty marker: next row is +40 bytes
2	0x0041DE4E	3	1	grid.stride.testrect	lea eax, [ecx + ecx*4]	imul eax, ecx, 0x28	8D0489	6BC128		0x0041DE20: eax = row * 25
2	0x0041DE51	7	1	grid.rowaddr.testrect	lea ebx, [esi + eax*8 + 0x6ceff8]	lea ebx, [esi + eax*2]	8D9CC6F8EF6C00	8D9C4600000000		0x0041DE20: [esi + eax*8 + grid] -> [esi + eax*2 + grid]
2	0x0041DE6B	5	1	grid.cols.testrect	mov esi, 0x28	mov esi, 0x50	BE28000000	BE50000000		0x0041DE20: columns per row
2	0x0042D2C7	25	1	grid.rowaddr.42D280	cmp edi, eax ; lea edx, [edi + edi*4] ; mov dword ptr [esi], ebx ; mov dword ptr [esi + 4], edi ; mov dword ptr [esi + 0xc], eax ; lea edx, [ebx + edx*8 + 0x6ceff8] ; mov dword ptr [ebp - 4], ecx ; jg 0x42d30c	imul edx, edi, 0x28 ; mov dword ptr [esi], ebx ; mov dword ptr [esi + 4], edi ; mov dword ptr [esi + 0xc], eax ; lea edx, [ebx + edx*2] ; mov dword ptr [ebp - 4], ecx ; cmp edi, eax ; jg 0x42d30c	3BF88D14BF891E897E0489460C8D94D3F8EF6C00894DFC7F2C	6BD728891E897E0489460C8D945300000000894DFC3BF87F2C		0x0042D280: edx = row * 40, [ebx + edx*2 + grid]; cmp/jg reordered
2	0x00497060	14	1	grid.rowaddr.497000	test eax, eax ; lea ecx, [ecx + ecx*4] ; lea edi, [edi + ecx*8 + 0x6ceff8] ; je 0x497089	imul ecx, ecx, 0x28 ; lea edi, [edi + ecx*2] ; test eax, eax ; je 0x497089	85C08D0C898DBCCFF8EF6C00741B	6BC9288DBC4F0000000085C0741B		0x00497000: ecx = row * 40, [edi + ecx*2 + grid]; test/je reordered
2	0x00497058	5	1	grid.cols.497000	mov edx, 0x28	mov edx, 0x50	BA28000000	BA50000000		0x00497000: columns per row
2	0x0047ECEB	3	1	grid.stride.fog.a	lea edi, [eax + eax*4]	imul edi, eax, 0x28	8D3C80	6BF828		0x0047EBF0: edi = row * 25
2	0x0047ECF9	7	1	grid.rowaddr.fog.a	mov dl, byte ptr [eax + edi*8 + 0x6ceff8]	mov dl, byte ptr [eax + edi*2]	8A94F8F8EF6C00	8A947800000000		0x0047EBF0: [eax + edi*8 + grid] -> [eax + edi*2 + grid]
2	0x0047ED3C	3	1	grid.stride.fog.b	lea ebx, [ebx + ebx*4]	imul ebx, ebx, 0x28	8D1C9B	6BDB28		0x0047EBF0: ebx = row * 25 (feeding a shift)
2	0x0047ED41	3	1	grid.strideshift.fog.b	shl ebx, 3	shl ebx, 1	C1E303	C1E301		0x0047EBF0: shl ebx,3 -> shl ebx,1, so row*25<<1 == row*80
2	0x0047ED44	7	1	grid.rowaddr.fog.b1	mov dl, byte ptr [ebx + edi + 0x6ceff8]	mov dl, byte ptr [ebx + edi]	8A943BF8EF6C00	8A943B00000000		0x0047EBF0: [ebx + edi + grid]
2	0x0047ED55	8	1	grid.rowaddr.fog.b2	cmp byte ptr [ebx + edx + 0x6ceff8], 0	cmp byte ptr [ebx + edx], 0	80BC13F8EF6C0000	80BC130000000000		0x0047EBF0: cmp byte [ebx + edx + grid], 0
2	0x0047ED5F	3	1	grid.stride.fog.c	lea eax, [eax + eax*4]	imul eax, eax, 0x28	8D0480	6BC028		0x0047EBF0: eax = row * 25 (feeding a shift)
2	0x0047ED62	3	1	grid.strideshift.fog.c	shl eax, 3	shl eax, 1	C1E003	C1E001		0x0047EBF0: shl eax,3 -> shl eax,1
2	0x0047ED65	7	1	grid.rowaddr.fog.c1	mov bl, byte ptr [eax + edi + 0x6ceff8]	mov bl, byte ptr [eax + edi]	8A9C38F8EF6C00	8A9C3800000000		0x0047EBF0: [eax + edi + grid]
2	0x0047ED70	7	1	grid.rowaddr.fog.c2	mov bl, byte ptr [eax + edx + 0x6ceff8]	mov bl, byte ptr [eax + edx]	8A9C10F8EF6C00	8A9C1000000000		0x0047EBF0: [eax + edx + grid]
2	0x0041D750	5	1	grid.clearcount@0041D750	mov ecx, 0x12c	mov ecx, 0x258	B92C010000	B958020000		drawing gate 0x0041D710: rep stosd count
2	0x0041E035	5	1	grid.clearcount@0041E035	mov ecx, 0x12c	mov ecx, 0x258	B92C010000	B958020000		0x0041DF80: rep stosd count
2	0x0041E06A	5	1	grid.clearcount@0041E06A	mov ecx, 0x12c	mov ecx, 0x258	B92C010000	B958020000		video init 0x0041E050: rep stosd count
2	0x0041E3EF	5	1	grid.clearcount@0041E3EF	mov ecx, 0x12c	mov ecx, 0x258	B92C010000	B958020000		composer 0x0041E280: rep stosd count
2	0x004BD64C	5	1	grid.clearcount@004BD64C	mov ecx, 0x12c	mov ecx, 0x258	B92C010000	B958020000		console init 0x004BD630: rep stosd count
2	0x004BD745	5	1	terrain.alloc	push 0x49800	push 0x8f800	6800980400	6800F80800		SMemAlloc size of the terrain scratch surface
2	0x0040AAFE	5	1	terrain.pitch@0040AAFE	mov ebx, 0x2a0	mov ebx, 0x520	BBA0020000	BB20050000		terrain WRITER 0x0040AAE0: row stride
2	0x0040C23A	6	1	terrain.pitch@0040C23A	add esi, 0x2a0	add esi, 0x520	81C6A0020000	81C620050000		scratch->screen copy: source row step
2	0x0040C240	5	1	terrain.pitch@0040C240	add eax, 0x2a0	add eax, 0x520	05A0020000	0520050000		scratch->screen copy: source offset row step
2	0x0040C402	6	1	terrain.pitch@0040C402	add edx, 0x2a0	add edx, 0x520	81C2A0020000	81C220050000		scratch writer (8-pixel run, forward): row step
2	0x0040C44C	6	1	terrain.pitch@0040C44C	add edx, 0x2a0	add edx, 0x520	81C2A0020000	81C220050000		scratch writer (8-pixel run, forward): row step
2	0x0040C495	6	1	terrain.pitch@0040C495	add edx, 0x2a0	add edx, 0x520	81C2A0020000	81C220050000		scratch writer (8-pixel run, reverse): row step
2	0x0040C4C4	6	1	terrain.pitch@0040C4C4	add edx, 0x2a0	add edx, 0x520	81C2A0020000	81C220050000		scratch writer (8-pixel run, forward 2): row step
2	0x004BCDD1	6	1	terrain.pitch@004BCDD1	imul eax, eax, 0x2a0	imul eax, eax, 0x520	69C0A0020000	69C020050000		terrain blitter: screenTop * pitch
2	0x0049BC51	6	1	terrain.pitch@0049BC51	imul eax, eax, 0x2a0	imul eax, eax, 0x520	69C0A0020000	69C020050000		scroll: row * terrain pitch
2	0x0049BD70	6	1	terrain.pitch@0049BD70	imul eax, eax, 0x2a0	imul eax, eax, 0x520	69C0A0020000	69C020050000		scroll: row * terrain pitch
2	0x0049BE2C	6	1	terrain.pitch@0049BE2C	imul edi, edi, 0x2a0	imul edi, edi, 0x520	69FFA0020000	69FF20050000		scroll: row * terrain pitch
2	0x0049C7A8	6	1	terrain.pitch@0049C7A8	imul eax, eax, 0x2a0	imul eax, eax, 0x520	69C0A0020000	69C020050000		scroll: row * terrain pitch
2	0x0040C275	3	1	terrain.pitch.shift.a	shl eax, 9	shl eax, 0xa	C1E009	C1E00A		0x0040C253: shl by 9 -> 10 (the 512 term becomes 1024)
2	0x0040C27E	3	1	terrain.pitch.shift.b	shl ebx, 7	shl ebx, 8	C1E307	C1E308		0x0040C253: shl by 7 -> 8 (the 128 term becomes 256)
2	0x0040C281	3	0	terrain.pitch.shift.c	shl ecx, 5	shl ecx, 5	C1E105	C1E105		0x0040C253: shl by 5 -> 5 (the 32 term becomes 32)
2	0x0040AAF0	6	1	terrain.wrap@0040AAF0	add esi, 0x49800	add esi, 0x8f800	81C600980400	81C600F80800		terrain writer: end-of-surface pointer
2	0x0040AB19	6	1	terrain.wrap@0040AB19	sub edi, 0x49800	sub edi, 0x8f800	81EF00980400	81EF00F80800		terrain writer: wrap
2	0x0040ABAA	6	1	terrain.wrap@0040ABAA	sub edi, 0x49800	sub edi, 0x8f800	81EF00980400	81EF00F80800		terrain writer: wrap
2	0x0040C20C	6	1	terrain.wrap@0040C20C	cmp ebx, 0x49800	cmp ebx, 0x8f800	81FB00980400	81FB00F80800		copy loop: wrap test
2	0x0040C214	5	1	terrain.wrap@0040C214	cmp eax, 0x49800	cmp eax, 0x8f800	3D00980400	3D00F80800		copy loop: wrap test
2	0x0040C21B	6	1	terrain.wrap@0040C21B	sub ebx, 0x49800	sub ebx, 0x8f800	81EB00980400	81EB00F80800		copy loop: wrap
2	0x0040C22A	6	1	terrain.wrap@0040C22A	sub esi, 0x49800	sub esi, 0x8f800	81EE00980400	81EE00F80800		copy loop: wrap source
2	0x0040C230	5	1	terrain.wrap@0040C230	sub eax, 0x49800	sub eax, 0x8f800	2D00980400	2D00F80800		copy loop: wrap offset
2	0x0040C290	5	1	terrain.wrap@0040C290	cmp eax, 0x49800	cmp eax, 0x8f800	3D00980400	3D00F80800		full-playfield blit: wrap test
2	0x0040C297	5	1	terrain.wrap@0040C297	sub eax, 0x49800	sub eax, 0x8f800	2D00980400	2D00F80800		full-playfield blit: wrap
2	0x0040C29C	5	1	terrain.wrap@0040C29C	cmp eax, 0x49800	cmp eax, 0x8f800	3D00980400	3D00F80800		full-playfield blit: wrap test
2	0x0040C3E2	6	1	terrain.wrap@0040C3E2	cmp edx, 0x49800	cmp edx, 0x8f800	81FA00980400	81FA00F80800		scratch writer: wrap test
2	0x0040C3EA	6	1	terrain.wrap@0040C3EA	sub edx, 0x49800	sub edx, 0x8f800	81EA00980400	81EA00F80800		scratch writer: wrap
2	0x0040C42C	6	1	terrain.wrap@0040C42C	cmp edx, 0x49800	cmp edx, 0x8f800	81FA00980400	81FA00F80800		scratch writer: wrap test
2	0x0040C434	6	1	terrain.wrap@0040C434	sub edx, 0x49800	sub edx, 0x8f800	81EA00980400	81EA00F80800		scratch writer: wrap
2	0x0040C476	6	1	terrain.wrap@0040C476	cmp edx, 0x49800	cmp edx, 0x8f800	81FA00980400	81FA00F80800		scratch writer: wrap test
2	0x0040C47E	6	1	terrain.wrap@0040C47E	sub edx, 0x49800	sub edx, 0x8f800	81EA00980400	81EA00F80800		scratch writer: wrap
2	0x0040C4A5	6	1	terrain.wrap@0040C4A5	cmp edx, 0x49800	cmp edx, 0x8f800	81FA00980400	81FA00F80800		scratch writer: wrap test
2	0x0040C4AD	6	1	terrain.wrap@0040C4AD	sub edx, 0x49800	sub edx, 0x8f800	81EA00980400	81EA00F80800		scratch writer: wrap
2	0x0049BEF0	6	1	terrain.wrap@0049BEF0	cmp edi, 0x49800	cmp edi, 0x8f800	81FF00980400	81FF00F80800		scroll: wrap test
2	0x0049BEF8	6	1	terrain.wrap@0049BEF8	sub edi, 0x49800	sub edi, 0x8f800	81EF00980400	81EF00F80800		scroll: wrap
2	0x004BCDDD	5	1	terrain.wrap@004BCDDD	mov esi, 0x49800	mov esi, 0x8f800	BE00980400	BE00F80800		terrain blitter: the modulus of the initial offset
2	0x004BCDF8	6	1	terrain.wrap@004BCDF8	cmp edi, 0x49800	cmp edi, 0x8f800	81FF00980400	81FF00F80800		terrain blitter: wrap test
2	0x004BCE00	6	1	terrain.wrap@004BCE00	sub edi, 0x49800	sub edi, 0x8f800	81EF00980400	81EF00F80800		terrain blitter: wrap
2	0x004BCE4F	6	1	terrain.wrap@004BCE4F	cmp edi, 0x49800	cmp edi, 0x8f800	81FF00980400	81FF00F80800		terrain blitter: wrap test
2	0x004BCE5B	6	1	terrain.wrap@004BCE5B	sub edi, 0x49800	sub edi, 0x8f800	81EF00980400	81EF00F80800		terrain blitter: wrap
2	0x004BCE74	6	1	terrain.wrap@004BCE74	cmp edi, 0x49800	cmp edi, 0x8f800	81FF00980400	81FF00F80800		terrain blitter: wrap test
2	0x004BCE7C	6	1	terrain.wrap@004BCE7C	sub edi, 0x49800	sub edi, 0x8f800	81EF00980400	81EF00F80800		terrain blitter: wrap
2	0x004BCE0E	3	1	terrain.cols@004BCE0E	cmp eax, 0x28	cmp eax, 0x50	83F828	83F850		terrain blitter: columns per row
2	0x004BCE28	3	1	terrain.cols@004BCE28	cmp eax, 0x28	cmp eax, 0x50	83F828	83F850		terrain blitter: columns per row
2	0x004BCE66	3	1	terrain.cols@004BCE66	cmp ebx, 0x28	cmp ebx, 0x50	83FB28	83FB50		terrain blitter: columns per row
2	0x004BCE6E	6	1	terrain.rowstep	add edi, 0x2780	add edi, 0x4d00	81C780270000	81C7004D0000		terrain blitter: advance to the next 16 scanlines
2	0x0040C25A	10	1	terrain.fullblit.runwidth	mov dword ptr [0x50cef0], 0x280	mov dword ptr [0x50cef0], 0x500	C705F0CE500080020000	C705F0CE500000050000		0x0040C253: the run width of the whole-playfield blit
2	0x0049BC65	6	1	terrain.modchain@0049BC65	lea ecx, [eax - 0x498000]	lea ecx, [eax - 0x8f8000]	8D880080B6FF	8D88008070FF		0x49BC20: mod-reduce a scratch offset by 16*size (negative lea displacement)
2	0x0049BC74	6	1	terrain.modchain@0049BC74	lea ecx, [eax - 0x24c000]	lea ecx, [eax - 0x47c000]	8D880040DBFF	8D880040B8FF		0x49BC20: mod-reduce a scratch offset by 8*size (negative lea displacement)
2	0x0049BC80	6	1	terrain.modchain@0049BC80	lea ecx, [eax - 0x126000]	lea ecx, [eax - 0x23e000]	8D8800A0EDFF	8D880020DCFF		0x49BC20: mod-reduce a scratch offset by 4*size (negative lea displacement)
